Trajectories
150
,,Snake_89:Head_M1,,,Snake_89:M2,,,Snake_89:M3,,,Snake_89:M4,,,Snake_89:M5,,,Snake_89:M6,,,Snake_89:M7,,,Snake_89:M8,,,Snake_89:M9,,,Snake_89:Vent_M10,,,Branch:Unlabeled1183,,,Branch:Unlabeled1181,,,Branch:Unlabeled1184,,,Branch:Unlabeled1182,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
41107,0,-270.169,195.678,703.337,-329.279,186.643,699.727,-400.93,183.548,703.815,-454.595,180.886,708.507,-492.267,150.873,646.771,-534.334,148.427,672.977,-566.135,177.628,713.248,-644.584,172.538,712.012,-689.055,141.798,671.111,-734.604,136.922,674.334,-337.017,205.953,690.946,262.441,225.308,682.315,,,,,,
41108,0,-270.503,196.121,703.896,-329.222,186.701,699.845,-400.975,183.449,703.781,-454.326,180.589,708.032,-492.149,150.637,647.011,-534.339,148.017,672.551,-566.048,177.721,713.335,-644.244,173.184,712.142,,,,-734.556,136.988,673.969,-337.031,205.888,690.966,262.447,225.31,682.316,,,,,,
41109,0,-270.72,196.174,704.005,-329.319,186.435,699.805,-401.013,183.233,703.797,-454.34,180.887,708.279,-492.027,150.341,646.73,-534.448,147.92,672.432,-565.876,177.682,713.345,-644.295,172.523,712.406,,,,-734.526,137.182,673.612,-337.021,205.845,690.966,262.455,225.269,682.294,,,,,,
41110,0,-271.29,196.667,704.092,-329.356,186.254,699.836,-401.131,182.868,703.539,-454.269,180.634,708.455,-491.889,150.287,647.026,-534.594,147.956,672.195,-565.651,177.522,713.403,-643.881,172.61,712.393,,,,-734.505,137.133,673.161,-336.987,205.808,690.975,262.443,225.278,682.317,,,,,,
41111,0,-271.419,196.683,704.252,-329.347,186.141,699.861,-401.163,182.721,703.569,-454.44,180.933,709.133,-491.673,150.047,647.132,-534.686,147.952,671.925,-565.281,177.174,713.257,-643.792,172.878,712.146,,,,-734.412,136.988,672.748,-336.98,205.76,690.97,262.443,225.293,682.312,,,,,,
41112,0,-271.492,196.95,704.421,-329.27,185.933,699.853,-401.121,182.491,703.613,-454.801,181.46,708.853,-491.543,149.72,647.244,-534.809,147.776,671.68,-564.848,176.924,713.266,-643.543,172.882,712.239,-687.817,142.867,671.742,-734.311,137.12,672.435,-336.943,205.727,690.983,262.435,225.266,682.291,,,,,,
41113,0,-271.697,197.22,704.719,-329.252,185.842,699.855,-401.033,182.239,703.658,-454.909,181.61,708.896,-491.373,149.66,647.315,-534.926,147.578,671.276,-564.552,177.165,713.278,-643.232,172.823,712.415,-687.029,142.159,672.141,-734.199,137.139,672.12,-336.899,205.706,690.966,262.435,225.264,682.291,,,,,,
41114,0,-271.753,197.548,705.078,-329.075,185.437,699.855,-401.081,182.158,703.737,-454.857,181.638,708.867,-491.191,149.762,647.31,-534.891,147.358,670.936,-564.381,177.273,713.282,-643.07,173.017,712.409,,,,-733.788,137.106,671.922,-336.906,205.647,690.985,262.448,225.311,682.315,,,,,,
41115,0,-272.039,197.876,705.292,-328.829,184.942,699.827,-401.07,182.049,703.746,-454.875,181.854,709.027,-491.078,149.887,647.334,-534.962,147.357,670.749,-564.128,177.239,713.229,-642.932,173.799,712.285,,,,-733.436,137.074,671.448,-336.891,205.597,690.965,262.435,225.267,682.292,,,,,,
