Trajectories
150
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
9641,0,,,,-254.318,91.8614,352.215,-315.619,93.5898,357.816,-378.129,81.4987,349.456,,,,-490.151,82.7239,356,-553.913,83.1152,358.204,-628.725,90.1266,365.827,-706.997,84.4685,362.282,-792.444,72.1229,350.231,-200.455,116.585,347.831,145.081,112.177,342.091,-866.5,109.241,365.051,884.801,118.065,353.517
9642,0,,,,-254.331,91.9215,352.25,-315.625,93.5912,357.793,-378.114,81.4625,349.462,,,,-490.115,82.7702,355.968,-553.913,83.1119,358.204,-628.73,90.1079,365.829,-706.997,84.4897,362.28,-792.403,72.1968,350.322,-200.468,116.589,347.822,145.081,112.177,342.091,-866.5,109.241,365.051,884.799,118.061,353.512
9643,0,,,,-254.331,91.9264,352.232,-315.62,93.5914,357.815,-378.109,81.4599,349.445,,,,-490.109,82.7983,355.982,-553.913,83.1108,358.204,-628.663,90.4476,365.786,-706.995,84.4844,362.302,-792.441,72.1411,350.233,-200.478,116.573,347.83,145.067,112.181,342.091,-866.5,109.241,365.051,884.799,118.061,353.512
9644,0,,,,-254.318,91.8711,352.214,-315.619,93.5904,357.82,-378.113,81.4588,349.461,,,,-490.11,82.7985,355.984,-553.913,83.111,358.204,-628.743,90.2394,365.812,-706.993,84.4508,362.285,-792.404,72.1924,350.32,-200.416,116.625,347.831,145.047,112.195,342.093,-866.496,109.283,365.051,884.799,118.061,353.512
9645,0,,,,-254.328,91.8914,352.211,-315.623,93.5819,357.755,-378.127,81.4904,349.458,,,,-490.154,82.7351,355.945,-553.913,83.1112,358.204,-628.727,90.1248,365.827,-706.99,84.4708,362.277,-792.441,72.1372,350.233,-200.437,116.601,347.836,145.047,112.201,342.081,-866.495,109.256,365.07,884.799,118.061,353.512
9646,0,,,,-254.33,91.9174,352.232,-315.592,93.6416,357.843,-378.129,81.4999,349.456,,,,-490.117,82.7616,355.985,-553.913,83.1113,358.204,-628.725,90.1232,365.828,-706.979,84.5124,362.271,-792.445,72.1178,350.23,-200.419,116.664,347.824,145.047,112.201,342.081,-866.5,109.24,365.051,884.801,118.065,353.517
9647,0,,,,-254.29,91.9117,352.209,-315.579,93.6496,357.819,-378.125,81.5067,349.439,,,,-490.115,82.7809,355.936,-553.913,83.1112,358.204,-628.718,90.2156,365.812,-706.965,84.5448,362.263,-792.444,72.1188,350.232,-200.451,116.651,347.831,145.061,112.198,342.081,-866.496,109.282,365.051,884.799,118.061,353.512
9648,0,,,,-254.288,91.9073,352.208,-315.576,93.6467,357.845,-378.128,81.5167,349.435,,,,-490.116,82.7877,355.93,-553.931,83.178,358.192,-628.716,90.2508,365.78,-706.961,84.57,362.259,-792.437,72.24,350.213,-200.5,116.64,347.812,145.055,112.202,342.076,-866.503,109.3,365.054,884.801,118.064,353.517
9649,0,,,,-254.404,92.3013,352.118,-315.591,93.7152,357.807,-378.141,81.5862,349.443,,,,-490.116,82.7851,355.932,-553.929,83.1969,358.189,-628.712,90.2527,365.805,-706.962,84.5717,362.264,-792.435,72.2766,350.206,-200.497,116.648,347.824,145.067,112.18,342.065,-866.518,109.335,365.052,884.801,118.065,353.517
9650,0,,,,-254.315,92.0026,352.189,-315.515,93.7388,357.791,-378.143,81.6025,349.441,,,,-490.117,82.7819,355.933,-553.893,83.2492,358.178,-628.708,90.2722,365.804,-706.979,84.6152,362.301,-792.435,72.2693,350.208,-200.443,116.697,347.835,145.055,112.207,342.065,-866.518,109.337,365.052,884.816,118.069,353.54
9651,0,,,,-254.298,91.8756,352.192,-315.491,93.7364,357.751,-378.097,81.6452,349.423,,,,-490.13,82.7004,355.998,-553.906,83.3305,358.168,-628.724,90.3501,365.794,-706.968,84.532,362.311,-792.42,72.3577,350.199,-200.447,116.759,347.849,145.035,112.229,342.081,-866.521,109.319,365.067,884.8,118.062,353.514
9652,0,-189.085,98.9311,356.052,-254.308,91.9135,352.206,-315.47,93.7665,357.741,-378.109,81.6886,349.417,,,,-490.142,82.6084,356,-553.903,83.3482,358.195,-628.719,90.3793,365.813,-706.985,84.5694,362.316,-792.454,72.3506,350.212,-200.469,116.812,347.822,145.046,112.197,342.093,-866.521,109.318,365.067,884.8,118.064,353.517
9653,0,-189.033,98.4364,356.263,-254.306,91.9894,352.208,-315.435,93.7955,357.658,-378.107,81.707,349.399,,,,-490.145,82.5823,356.004,-553.903,83.3397,358.194,-628.718,90.377,365.814,-706.999,84.5086,362.334,-792.451,72.3403,350.264,-200.244,117.115,347.803,145.049,112.219,342.093,-866.519,109.314,365.068,884.815,118.038,353.515
9654,0,-188.957,98.7427,356.027,-254.309,92.0827,352.215,-315.397,93.8472,357.636,-378.104,81.7364,349.41,,,,-490.127,82.6036,356.006,-553.921,83.4027,358.186,-628.737,90.4355,365.806,-707,84.4855,362.338,-792.416,72.4048,350.304,-200.316,117.079,347.814,145.06,112.193,342.093,-866.519,109.314,365.068,884.822,118.091,353.523
9655,0,-188.966,98.9587,356.064,-254.306,92.1432,352.187,,,,-378.115,81.7873,349.389,,,,-490.105,82.6516,356.038,-553.883,83.4777,358.172,-628.734,90.4633,365.802,-706.999,84.4878,362.337,-792.423,72.4223,350.235,-200.322,117.117,347.818,145.055,112.198,342.062,-866.536,109.354,365.066,884.799,118.062,353.512
9656,0,-189.07,99.2549,356.05,-254.311,92.1771,352.233,,,,-378.079,81.8329,349.394,,,,-490.098,82.6686,356.049,-553.879,83.4923,358.169,-628.733,90.4628,365.801,-706.999,84.4918,362.337,-792.4,72.4443,350.421,-200.393,117.083,347.828,145.042,112.226,342.062,-866.531,109.369,365.051,884.82,118.087,353.518
9657,0,-189.063,99.3008,356.049,-254.312,92.1773,352.238,,,,-378.077,81.8367,349.394,,,,-490.098,82.6664,356.049,-553.881,83.485,358.17,-628.737,90.4483,365.803,-706.967,84.5512,362.324,-792.432,72.4383,350.241,-200.356,117.19,347.799,145.061,112.199,342.081,-866.546,109.384,365.064,884.828,118.104,353.524
