Trajectories
150
,,Snake_95:Head_M1,,,Snake_95:M2,,,Snake_95:M3,,,Snake_95:M4,,,Snake_95:M5,,,Snake_95:M6,,,Snake_95:M7,,,Snake_95:M8,,,Snake_95:M9,,,Snake_95:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13056,0,-203.024,87.4833,355.266,-268.795,79.8523,347.69,-330.779,87.5132,359.305,-396.484,87.6308,363.028,-444.083,77.2127,353.147,,,,-572.893,74.7542,358.022,-650.467,73.7769,356.639,-727.411,69.2357,361.801,-697.826,130.227,331.606,-200.867,107.736,347.219,211.273,112.802,343.55,-875.197,94.3081,366.861,951.742,116.155,353.168
13057,0,-201.661,87.0642,354.955,-267.306,80.1057,347.387,-329.41,86.7129,359.187,,,,-442.916,76.9014,353.723,,,,-571.747,74.6168,358.212,-649.197,73.5301,356.332,-726.155,68.8476,361.13,-698.179,130.555,332.814,-200.846,107.837,347.471,211.273,112.802,343.55,-875.172,94.3525,366.855,951.744,116.16,353.176
13058,0,-200.764,87.7866,354.718,-266.047,79.4978,347.303,-328.322,87.4203,359.163,-393.917,87.4868,362.853,-441.887,77.728,354.502,-506.421,80.3164,362.113,-570.536,75.5028,358.425,-648.034,73.1817,355.987,-724.935,68.3271,360.484,-698.429,130.527,334,-200.634,108.14,347.653,211.273,112.802,343.55,-875.172,94.3554,366.854,951.724,116.131,353.166
13059,0,-198.948,87.3749,354.502,-264.802,79.9762,347.478,-327.013,86.9309,358.955,-392.886,87.7604,362.757,-441.248,78.1504,354.71,-505.588,80.6982,361.365,-569.521,75.7884,358.719,-646.992,72.6932,355.473,-723.937,67.5829,360.014,,,,-200.581,108.127,347.665,211.273,112.802,343.55,-875.172,94.354,366.854,951.725,116.134,353.17
13060,0,-197.726,86.6117,354.377,-263.873,79.3186,347.802,-325.841,87.01,358.642,,,,-439.79,78.2057,355.414,-504.79,81.0253,360.894,-568.36,75.9844,359.282,-645.736,72.3533,354.972,-722.727,66.7148,359.591,-699.022,130.298,336.475,-200.539,108.147,347.538,211.274,112.803,343.541,-875.172,94.3539,366.855,951.73,116.145,353.168
13061,0,-197.091,87.2594,353.982,-262.601,79.6074,347.829,-324.688,86.7644,358.717,-390.645,87.9164,362.404,-438.991,79.0279,355.676,-503.559,80.6323,360.453,-567.265,76.3649,359.165,-644.695,72.2421,354.648,-721.598,66.2302,358.622,-699.414,130.31,337.537,-200.765,107.943,347.416,211.273,112.802,343.55,-875.172,94.3539,366.854,951.73,116.145,353.168
13062,0,-195.826,87.5219,353.17,-261.594,80.3391,347.928,-323.729,86.5769,358.591,-389.563,88.4259,362.409,-438.223,79.5632,356.263,-502.507,80.3926,360.006,-566.441,76.8319,359.519,-643.658,72.1597,354.365,-720.386,65.745,358.231,-699.878,130.2,338.686,-201.006,107.677,347.37,211.273,112.802,343.55,-875.165,94.3861,366.848,951.731,116.148,353.172
13063,0,-194.997,87.0199,352.802,-260.283,79.9238,347.879,-322.591,86.5233,358.301,-388.409,88.3494,362.379,-436.987,79.0685,356.721,-501.673,79.819,359.522,-565.152,76.8294,360.098,-642.432,71.9912,354.17,-719.413,65.4677,357.902,,,,-200.79,107.961,347.415,211.289,112.806,343.54,-875.172,94.3561,366.854,951.724,116.131,353.166
13064,0,-193.925,86.977,352.313,-259.434,80.764,347.691,-321.685,86.0283,358.383,-387.349,88.084,362.279,-436.345,79.8889,357.152,-500.607,78.831,359.121,-564.276,77.1949,360.198,-641.628,71.7409,354.116,-718.199,65.1762,357.563,-700.678,129.697,340.588,-200.765,107.944,347.417,211.275,112.803,343.541,-875.172,94.353,366.855,951.722,116.129,353.161
