Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake:Head_M1,,,Snake:M2,,,Snake:M3,,,Snake:M4,,,Snake:M5,,,Snake:M6,,,Snake:M7,,,Snake:M8,,,Snake:M9,,,Snake:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2038,0,-214.152,46.7738,147.912,-279.204,40.0463,142.988,-344.032,33.0436,143.082,-403.916,36.6809,151.138,-453.381,32.8266,149.5,-514.382,35.9511,155.342,-583.824,23.0272,147.153,-660.429,23.6707,150.081,-735.989,31.5508,158.303,,,,-193.606,62.2738,136.094,324.653,82.7595,117.401,-867.933,36.6931,156.607,1064.66,108.174,129.113
2039,0,-212.663,46.1792,147.713,-277.984,39.883,142.89,-342.883,33.3831,143.295,-402.721,35.8298,150.503,-452.299,33.5301,149.912,-513.218,35.7802,155.278,-582.576,22.8297,146.756,,,,-734.607,31.4869,158.524,,,,-193.606,62.2738,136.094,324.644,82.7362,117.399,-867.943,36.7021,156.62,1064.67,108.186,129.12
2040,0,-211.275,45.7982,147.466,-276.576,40.0992,142.746,-341.759,34.117,143.801,-402.057,35.7971,150.176,-451.103,33.5894,149.981,-512.321,34.261,155.156,-581.335,22.2476,146.612,-657.255,25.4301,150.916,-733.384,32.0601,158.509,,,,-193.606,62.2738,136.094,324.645,82.7364,117.402,-867.943,36.7024,156.62,1064.69,108.219,129.127
2041,0,-210.169,46.2301,147.361,-275.399,40.2228,142.87,-340.172,34.1009,143.958,-400.76,35.3322,149.495,-449.975,34.4148,150.689,,,,-580.192,22.9464,146.318,,,,-732.055,32.1181,158.403,,,,-193.632,62.2821,136.095,324.663,82.7184,117.374,-867.928,36.6998,156.627,1064.67,108.19,129.122
2042,0,-208.631,45.8378,147.165,-274.141,40.0665,142.904,-339.067,34.6876,144.208,-399.915,34.4167,148.886,-448.746,34.3164,150.837,,,,-578.876,22.7819,146.433,-655.163,25.3716,151.622,-731.043,32.615,158.568,,,,-193.607,62.2749,136.094,324.656,82.7273,117.379,-867.934,36.6842,156.608,1064.69,108.229,129.134
2043,0,-207.548,45.54,146.933,-272.889,40.7495,142.957,-337.881,34.6995,144.62,,,,-447.872,34.8641,150.886,,,,-577.539,21.9915,146.289,-653.878,26.0821,152.163,-729.941,32.9455,158.489,,,,-193.632,62.2817,136.095,324.628,82.7159,117.399,-867.933,36.6923,156.607,1064.67,108.191,129.122
2044,0,-206.219,45.4938,146.716,-271.503,40.3207,142.997,-336.829,35.5553,144.566,,,,-446.548,34.975,150.881,,,,-576.512,22.6266,146.046,-652.981,26.5525,151.945,-728.537,32.6252,158.393,,,,-193.633,62.2831,136.095,324.645,82.7366,117.402,-867.943,36.7021,156.62,1064.66,108.173,129.112
2045,0,-204.746,44.8501,146.521,-270.348,40.9305,142.962,-335.386,35.7972,144.701,-396.73,31.8141,147.077,-445.323,35.5883,151.478,,,,-575.187,22.6778,146.159,,,,-727.37,33.1063,158.719,-811.875,22.5142,155.29,-193.633,62.2827,136.095,324.642,82.7391,117.389,-867.933,36.6937,156.607,1064.69,108.228,129.133
