Trajectories
150
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch_1:OriginEnd,,,Branch_1:TargetEnd,,,Branch_1:OriginOther,,,Branch_1:TargetOther,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7444,0,-109.989,248.866,536.455,-187.768,241.873,532.103,-267.63,249.076,558.443,-348.192,267.421,553.827,-413.009,229.833,560.376,,,,-555.95,241.076,565.103,,,,-721.293,244.506,561.782,-805.765,197.093,551.223,-249.119,246.309,538.514,294.478,260.566,533.859,-923.672,221.074,561.265,690.451,278.321,542.852,,,,,,,,,,,,
7445,0,-110.014,248.489,536.577,-187.741,241.722,532.158,-267.635,249.061,558.453,-348.131,267.52,553.815,-412.872,229.647,560.326,-485.388,258.351,558.526,-555.735,241.552,565.06,,,,-720.877,244.331,561.71,-805.215,197.154,551.171,-249.107,246.327,538.487,294.478,260.566,533.859,-923.672,221.077,561.276,690.454,278.345,542.85,,,,,,,,,,,,
7446,0,-110,247.956,536.753,-187.418,241.771,531.999,-267.652,249.053,558.442,-348.116,267.608,553.814,,,,-484.884,258.149,558.752,-555.427,241.954,565.132,,,,,,,-804.92,197.131,551.136,-249.12,246.356,538.473,294.478,260.566,533.859,-923.673,221.069,561.258,690.451,278.321,542.852,,,,,,,,,,,,
7447,0,-109.798,247.186,536.99,-188.013,241.271,532.468,-267.639,249.034,558.436,-348.099,267.619,553.826,-412.209,229.013,560.153,-484.486,257.947,558.826,-555.227,242.143,565.038,,,,-720.054,244.184,561.355,-804.707,197.231,551.161,-249.109,246.357,538.468,294.477,260.512,533.862,-923.673,221.07,561.267,690.451,278.321,542.852,,,,,,,,,,,,
7448,0,-109.756,246.996,537.066,-188.156,241.127,532.506,-267.612,249.029,558.438,-348.083,267.703,553.829,-411.876,228.754,560.106,-484.081,257.586,558.812,-554.931,242.4,564.998,,,,-719.485,243.807,561.223,-804.05,197.334,551.319,-249.12,246.359,538.48,294.469,260.531,533.859,-923.697,221.131,561.278,690.451,278.321,542.852,,,,,,,,,,,,
7449,0,-109.891,246.518,537.141,-187.808,240.553,532.51,-267.616,249.031,558.417,-348.101,267.775,553.873,-410.842,227.352,559.857,,,,-554.581,242.71,564.967,,,,-719.491,244.712,561.425,-803.676,197.379,551.216,-249.1,246.372,538.469,294.476,260.516,533.852,-923.697,221.134,561.279,690.451,278.321,542.852,,,,,,,,,,,,
7450,0,-109.834,245.742,537.233,-187.72,240.47,532.599,-267.613,248.993,558.402,-348.226,268.073,553.834,-411.349,228.264,559.956,-483.495,257.567,558.968,-554.19,242.97,564.95,,,,-719.026,245.037,561.382,-803.15,197.263,551.031,-249.112,246.401,538.457,294.477,260.551,533.809,-923.695,221.137,561.285,690.451,278.321,542.852,,,,,,,,,,,,
7451,0,-109.794,245.056,537.306,-187.73,240.421,532.691,-267.616,248.992,558.415,-348.178,268.147,553.842,-410.92,227.844,559.935,,,,-554.109,243.16,564.883,,,,,,,-802.443,197.265,551.091,-249.114,246.406,538.459,294.462,260.585,533.799,-923.676,221.173,561.28,690.451,278.321,542.852,,,,,,,,,,,,
7452,0,-109.614,244.505,537.428,-187.698,240.376,532.742,-267.613,249,558.375,-347.86,267.978,553.867,-410.86,227.821,559.908,,,,-553.815,243.481,564.899,,,,-717.658,244.528,560.908,-802.166,197.722,551.028,-249.099,246.46,538.452,294.469,260.534,533.859,-923.679,221.166,561.265,690.452,278.314,542.861,,,,,,,,,,,,
7453,0,-109.8,243.884,537.651,-187.71,240.221,532.829,-267.616,248.946,558.37,-347.793,268.011,553.871,-410.041,226.842,559.728,,,,-553.413,243.811,564.862,,,,-717.693,245.911,561.233,-801.349,197.718,551.11,-249.105,246.451,538.426,294.478,260.505,533.871,-923.678,221.172,561.283,690.451,278.321,542.852,,,,,,,,,,,,
7454,0,-109.633,243.668,537.869,-187.754,240.021,532.867,-267.624,248.944,558.371,-347.786,268.265,553.846,-410.078,227.153,559.785,-482.121,256.882,559.744,-553.17,243.967,564.753,,,,-716.862,245.861,561.099,-800.756,197.64,551.139,-249.103,246.457,538.406,294.477,260.509,533.861,-923.657,221.212,561.283,690.451,278.321,542.852,,,,,,,,,,,,
7455,0,-109.557,243.225,538.087,-187.739,239.807,533.029,-267.6,248.916,558.348,-347.626,268.407,553.825,-409.872,226.953,559.728,-481.637,256.562,559.771,,,,,,,,,,-799.914,197.507,551.192,-249.081,246.47,538.404,294.469,260.532,533.859,-923.645,221.183,561.279,690.451,278.321,542.852,,,,,,,,,,,,
7456,0,-109.499,242.54,538.316,-187.552,239.462,533.129,-267.63,248.892,558.346,-347.682,268.588,553.821,-409.012,225.818,559.49,-481.171,256.244,559.732,-552.732,244.943,564.562,,,,-715.691,246.363,560.916,-799.294,197.751,551.253,-249.09,246.464,538.397,294.469,260.539,533.851,-923.644,221.187,561.287,690.426,278.352,542.85,,,,,,,,,,,,
7457,0,-109.486,242.345,538.471,-187.581,239.133,533.192,-267.615,248.856,558.349,-347.649,268.485,553.823,,,,,,,-552.514,245.243,564.456,,,,-714.876,246.458,560.787,-798.395,197.516,551.181,-249.075,246.465,538.397,294.477,260.533,533.861,-923.626,221.237,561.303,690.451,278.322,542.852,,,,,,,,,,,,
7458,0,-109.498,241.796,538.933,-187.687,238.81,533.289,-267.622,248.855,558.35,-347.596,268.446,553.824,,,,-480.549,255.978,560.077,-552.355,245.601,564.392,,,,-714.297,246.343,560.585,-797.651,197.728,551.238,-249.083,246.497,538.381,294.451,260.521,533.795,-923.623,221.229,561.297,690.426,278.352,542.85,,,,,,,,,,,,
7459,0,-109.392,241.243,539.181,-187.742,238.556,533.431,-267.636,248.801,558.361,-347.596,268.477,553.819,-408.794,225.713,559.366,-480.171,255.755,560.373,-551.971,245.803,564.348,,,,-713.477,246.63,560.348,-797.249,197.591,551.617,-249.068,246.48,538.384,294.451,260.522,533.794,-923.634,221.266,561.312,690.426,278.353,542.85,,,,,,,,,,,,
7460,0,-109.434,240.557,539.165,-187.717,238.473,533.58,-267.716,248.78,558.418,-347.557,268.49,553.825,-408.562,225.578,559.339,-479.797,255.329,560.397,-551.555,245.856,564.303,,,,-712.683,247.339,560.263,-796.059,197.876,551.623,-249.059,246.476,538.385,294.47,260.534,533.861,-923.632,221.259,561.307,690.426,278.352,542.85,,,,,,,,,,,,
