Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:Origin_Other,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.287,-3.25803,273.154,221.158,27.7596,279.605,,,,617.015,58.3378,293.227
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.291,-3.3202,273.155,221.166,27.7917,279.604,,,,617.015,58.3393,293.221
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.296,-3.36332,273.165,221.152,27.7579,279.617,,,,617.015,58.3393,293.221
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.289,-3.37311,273.139,221.158,27.7591,279.606,,,,617.021,58.356,293.222
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.284,-3.36621,273.142,221.165,27.7914,279.604,,,,617.021,58.3563,293.222
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.277,-3.35552,273.17,221.16,27.7892,279.615,,,,617.024,58.3608,293.23
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.287,-3.37315,273.183,221.16,27.7887,279.615,,,,617.021,58.3562,293.222
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.295,-3.36377,273.175,221.166,27.7917,279.604,,,,617.021,58.3561,293.222
