Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:OriginOther,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.263,-8.83814,273.069,283.029,28.2949,276.726,-816.758,-54.1977,287.395,679.026,57.9681,291.616
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.271,-8.79902,273.068,283.038,28.2921,276.726,-816.776,-54.1634,287.405,679.028,57.9686,291.622
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.286,-8.76957,273.076,283.029,28.2889,276.735,-816.793,-54.1987,287.406,679.022,57.9542,291.621
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.289,-8.77629,273.094,283.029,28.2889,276.735,-816.793,-54.2019,287.412,679.04,57.9484,291.623
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.282,-8.76295,273.086,283.038,28.2921,276.726,-816.805,-54.1041,287.396,679.028,57.9684,291.622
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.288,-8.71674,273.067,283.036,28.2888,276.722,-816.797,-54.1173,287.389,679.037,57.9749,291.624
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.293,-8.72532,273.076,283.05,28.3124,276.716,-816.796,-54.1192,287.389,679.046,57.9984,291.64
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.296,-8.73312,273.093,283.035,28.3095,276.738,-816.805,-54.1029,287.396,679.05,57.9533,291.631
