Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.221,-9.71503,273.289,337.797,26.5424,277.263,,,,733.589,54.0614,292.045
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.194,-9.68611,273.285,337.786,26.5569,277.229,,,,733.589,54.0504,292.045
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.219,-9.71725,273.29,337.804,26.5449,277.249,,,,733.603,54.0497,292.046
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.219,-9.72408,273.291,337.78,26.5759,277.253,,,,733.605,54.0528,292.056
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.219,-9.7229,273.29,337.811,26.584,277.238,,,,733.603,54.0498,292.047
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.219,-9.72212,273.29,337.795,26.5792,277.238,,,,733.589,54.0503,292.045
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.219,-9.72208,273.29,337.805,26.5517,277.239,,,,733.589,54.0613,292.045
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.217,-9.74578,273.292,337.798,26.5488,277.253,,,,733.59,54.0428,292.055
