Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6323,261.873,398.785,-48.4664,259.057,-882.664,-152.835,277.755,794.446,-16.1574,272.286
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.606,-98.6393,261.888,398.785,-48.4677,259.056,-882.664,-152.835,277.755,794.446,-16.1574,272.286
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.599,-98.6236,261.883,398.801,-48.4629,259.057,-882.664,-152.835,277.755,794.446,-16.1574,272.286
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.606,-98.6389,261.888,398.785,-48.4677,259.056,-882.664,-152.835,277.755,794.446,-16.1574,272.286
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.606,-98.6396,261.888,398.774,-48.4957,259.055,-882.664,-152.835,277.755,794.444,-16.1799,272.288
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.606,-98.6394,261.888,398.786,-48.5217,259.063,-882.664,-152.835,277.755,794.444,-16.1805,272.288
