Trajectories
150
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.513,-99.5664,261.871,398.57,-47.7893,258.78,,,,794.257,-15.7113,272.187
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.513,-99.5664,261.871,398.57,-47.7893,258.78,,,,794.256,-15.6801,272.212
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.571,-99.7069,261.922,398.57,-47.7893,258.78,,,,794.261,-15.6899,272.2
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.572,-99.7109,261.922,398.57,-47.7893,258.78,,,,794.247,-15.7169,272.202
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.57,-99.7066,261.923,398.57,-47.7893,258.78,,,,794.261,-15.691,272.2
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.6939,261.915,398.57,-47.7911,258.782,,,,794.247,-15.6909,272.191
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.57,-99.7037,261.923,398.57,-47.7866,258.772,,,,794.248,-15.6957,272.2
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.564,-99.72,261.93,398.57,-47.791,258.782,,,,794.247,-15.6951,272.185
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.558,-99.7053,261.924,398.57,-47.7866,258.772,,,,794.247,-15.695,272.185
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.564,-99.6915,261.916,398.57,-47.7865,258.772,,,,794.248,-15.6958,272.2
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.56,-99.7055,261.914,398.57,-47.7865,258.772,,,,794.242,-15.6849,272.197
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.576,-99.7152,261.919,398.58,-47.7591,258.773,,,,794.242,-15.6845,272.197
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.559,-99.7038,261.914,398.58,-47.7586,258.773,,,,794.246,-15.6645,272.21
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.564,-99.7132,261.921,398.58,-47.7588,258.773,,,,794.242,-15.6842,272.197
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.564,-99.7136,261.921,398.568,-47.7387,258.775,,,,794.242,-15.6849,272.197
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.502,-99.5652,261.862,398.568,-47.7383,258.775,,,,794.242,-15.6847,272.197
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.563,-99.7093,261.921,398.568,-47.7385,258.775,,,,794.244,-15.6636,272.195
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.573,-99.6769,261.92,398.58,-47.7587,258.773,,,,794.241,-15.6796,272.188
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.573,-99.674,261.92,398.549,-47.7456,258.793,,,,794.249,-15.6741,272.183
20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.564,-99.7129,261.921,398.557,-47.7439,258.774,,,,794.241,-15.6799,272.188
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.558,-99.7016,261.915,398.559,-47.718,258.793,,,,794.247,-15.6693,272.174
22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.7157,261.921,398.56,-47.7128,258.796,,,,794.241,-15.6797,272.188
23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.558,-99.7013,261.915,398.548,-47.7449,258.793,,,,794.243,-15.6591,272.186
24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.575,-99.7122,261.92,398.548,-47.7456,258.793,,,,794.245,-15.6897,272.176
25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.7162,261.921,398.557,-47.744,258.774,,,,794.241,-15.6805,272.188
26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.7161,261.921,398.557,-47.744,258.774,,,,794.241,-15.6799,272.188
27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.56,-99.706,261.914,398.557,-47.744,258.774,,,,794.244,-15.6854,272.212
28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.7158,261.921,398.557,-47.7469,258.782,,,,794.243,-15.6812,272.203
29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.559,-99.7037,261.914,398.549,-47.7483,258.8,,,,794.242,-15.6809,272.203
30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.565,-99.7157,261.921,398.569,-47.7672,258.78,,,,794.241,-15.6801,272.188
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.556,-99.7548,261.922,398.557,-47.7472,258.782,,,,794.241,-15.68,272.188
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.563,-99.7119,261.922,398.557,-47.7467,258.782,,,,794.241,-15.68,272.188
33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.563,-99.7102,261.922,398.557,-47.7469,258.782,,,,794.245,-15.6902,272.176
34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.563,-99.7108,261.922,398.569,-47.7672,258.78,,,,794.244,-15.6857,272.212
35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.571,-99.6696,261.921,398.569,-47.7417,258.783,,,,794.243,-15.659,272.186
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.576,-99.6783,261.927,398.569,-47.7411,258.783,,,,794.24,-15.6586,272.185
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.571,-99.6665,261.922,398.569,-47.7413,258.783,,,,794.245,-15.6596,272.201
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.548,-99.6477,261.928,398.58,-47.7616,258.781,,,,794.24,-15.6591,272.185
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.556,-99.6089,261.927,398.569,-47.7675,258.78,,,,794.243,-15.6586,272.186
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.555,-99.6023,261.928,398.557,-47.7471,258.782,,,,794.242,-15.66,272.2
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.557,-99.6085,261.927,398.557,-47.7467,258.782,,,,794.245,-15.6597,272.201
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.512,-99.4161,261.859,398.569,-47.7672,258.78,,,,794.241,-15.6798,272.188
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.576,-99.564,261.924,398.56,-47.7689,258.799,,,,794.238,-15.6806,272.187
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.587,-99.613,261.922,398.56,-47.7688,258.799,,,,794.241,-15.68,272.188
45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.583,-99.6317,261.928,398.56,-47.7688,258.799,,,,794.247,-15.691,272.191
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.59,-99.6238,261.92,398.56,-47.7688,258.799,,,,794.245,-15.6906,272.176
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-99.6301,261.927,398.569,-47.7674,258.78,,,,794.245,-15.6903,272.176
