Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.613,-243.168,177.467,502.522,-110.98,179.639,-829.776,-382.08,193.238,891.344,-30.3254,191.704
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.178,177.431,502.522,-110.98,179.639,-829.753,-382.078,193.243,891.325,-30.3376,191.686
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.617,-243.178,177.431,502.536,-110.972,179.653,-829.759,-382.112,193.234,891.325,-30.3382,191.683
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.616,-243.178,177.431,502.536,-110.972,179.653,-829.752,-382.086,193.233,891.325,-30.338,191.683
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.624,-243.16,177.416,502.522,-110.98,179.639,-829.757,-382.071,193.244,891.325,-30.338,191.684
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.637,-243.195,177.448,502.522,-110.98,179.639,-829.761,-382.103,193.244,891.344,-30.3174,191.686
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.637,-243.197,177.448,502.523,-110.982,179.651,-829.753,-382.078,193.243,891.345,-30.3166,191.686
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.628,-243.168,177.434,502.522,-110.98,179.639,-829.754,-382.069,193.253,891.325,-30.3372,191.686
