Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8034,0,-587.413,-16.7516,618.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8035,0,-585.777,-15.5041,618.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8036,0,-583.593,-14.945,618.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8037,0,-581.238,-14.6414,618.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8038,0,-579.091,-15.0677,618.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,0,-577.005,-14.7291,618.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8040,0,-574.846,-14.6866,618.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8041,0,-572.713,-14.3865,617.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8042,0,-570.721,-14.0669,617.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,0,-568.574,-14.1798,617.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
