Trajectories
150
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3542,0,,,,,,,,,,,,,,,,,,,,,,-935.017,-262.666,173.855,,,,,,,,,,,,,,,,,,
3543,0,,,,,,,,,,,,,,,,,,,,,,-930.973,-247.864,171.85,,,,,,,,,,,,,,,,,,
3544,0,,,,,,,,,,,,,,,,,,,,,,-926.033,-245.99,172.677,,,,,,,,,,,,,,,,,,
3545,0,,,,,,,,,,,,,,,,,,,,,,-920.931,-246.149,173.851,,,,,,,,,,,,,,,,,,
3546,0,,,,,,,,,,,,,,,,,,,,,,-916.158,-244.88,174.395,,,,,,,,,,,,,,,,,,
3547,0,,,,,,,,,,,,,,,,,,,,,,-910.96,-243.181,175.217,,,,,,,,,,,,,,,,,,
3548,0,,,,,,,,,,,,,,,,,,,,,,-906.355,-241.399,175.428,,,,,,,,,,,,,,,,,,
3549,0,,,,,,,,,,,,,,,,,,,,,,-901.473,-240.21,175.931,,,,,,,,,,,,,,,,,,
3550,0,,,,,,,,,,,,,,,,,,,,,,-896.586,-237.242,176.233,,,,,,,,,,,,,,,,,,
3551,0,,,,,,,,,,,,,,,,,,,,,,-891.478,-234.821,177.033,,,,,,,,,,,,,,,,,,
3552,0,,,,,,,,,,,,,,,,,,,,,,-886.739,-233.378,177.169,,,,,,,,,,,,,,,,,,
3553,0,,,,,,,,,,,,,,,,,,,,,,-881.654,-234.758,178.248,,,,,,,,,,,,,,,,,,
3554,0,,,,,,,,,,,,,,,,,,,,,,-874.689,-235.515,178.487,,,,,,,,,,,,,,,,,,
3555,0,,,,,,,,,,,,,,,,,,,,,,-870.799,-233.103,179.023,,,,,,,,,,,,,,,,,,
3556,0,,,,,,,,,,,,,,,,,,,,,,-866.772,-231.487,178.943,,,,,,,,,,,,,,,,,,
3557,0,,,,,,,,,,,,,,,,,,,,,,-861.632,-231.75,179.401,,,,,,,,,,,,,,,,,,
3558,0,,,,,,,,,,,,,,,,,,,,,,-856.778,-231.188,178.987,,,,,,,,,,,,,,,,,,
3559,0,,,,,,,,,,,,,,,,,,,,,,-851.749,-230.922,178.647,,,,,,,,,,,,,,,,,,
3560,0,,,,,,,,,,,,,,,,,,,,,,-846.76,-230.716,178.123,,,,,,,,,,,,,,,,,,
3561,0,,,,,,,,,,,,,,,,,,,,,,-841.724,-230.487,178.777,,,,,,,,,,,,,,,,,,
3562,0,,,,,,,,,,,,,,,,,,,,,,-837.204,-229.844,178.24,,,,,,,,,,,,,,,,,,
3563,0,,,,,,,,,,,,,,,,,,,,,,-832.839,-228.258,178.835,,,,,,,,,,,,,,,,,,
3564,0,,,,,,,,,,,,,,,,,,,,,,-827.911,-226.403,178.27,,,,,,,,,,,,,,,,,,
3565,0,,,,,,,,,,,,,,,,,,,,,,-823.039,-224.788,178.633,,,,,,,,,,,,,,,,,,
3566,0,,,,,,,,,,,,,,,,,,,,,,-818.285,-223.665,178.879,,,,,,,,,,,,,,,,,,
3567,0,,,,,,,,,,,,,,,,,,,,,,-813.624,-223.009,179.151,,,,,,,,,,,,,,,,,,
3568,0,,,,,,,,,,,,,,,,,,,,,,-808.712,-222.607,179.576,,,,,,,,,,,,,,,,,,
3569,0,,,,,,,,,,,,,,,,,,,,,,-804.28,-223.064,179.651,,,,,,,,,,,,,,,,,,
