Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branchy:OriginEnd,,,branchy:TargetEnd,,,branchy:OriginOther,,,branchy:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33488,0,-280.329,168.754,403.14,-248.764,140.02,359.204,-270.47,100.818,338.889,-322.335,64.0662,309.938,-374.121,87.592,340.503,-451.477,94.8727,343.301,-510.312,55.354,302.955,-558.876,55.0663,305.777,-581.842,108.073,339.474,,,,-260.131,109.433,324.659,235.723,128.898,320.56,-934.365,75.2927,339.522,408.675,133.518,330.777
33489,0,-280.103,169.465,403.842,-249.449,140.254,359.916,-269.797,101.128,338.821,-321.981,64.129,310.286,-373.496,87.1635,339.819,-450.811,95.0722,343.144,-509.91,55.1042,303.336,-558.906,55.4198,305.058,-581.799,107.463,339.619,,,,-260.121,109.394,324.655,235.723,128.898,320.56,-934.366,75.2858,339.523,408.673,133.531,330.762
33490,0,-280.347,170.41,404.507,-249.869,140.496,360.671,-269.337,101.22,338.734,-321.795,64.1992,310.372,-373.271,86.5999,339.797,-450.721,94.6254,343.271,-509.643,55.3645,303.988,-558.538,54.873,304.945,-581.541,107.133,339.682,,,,-260.121,109.393,324.655,235.723,128.898,320.56,-934.364,75.3001,339.521,408.705,133.477,330.781
33491,0,-280.275,171.268,405.159,-250.162,140.824,360.779,-268.796,101.472,338.904,-321.522,64.2494,310.386,-372.831,86.6333,339.69,-449.981,94.6499,343.329,-509.394,55.8958,304.243,-558.411,54.6033,304.313,,,,,,,-260.121,109.394,324.655,235.711,128.871,320.56,-934.336,75.2685,339.526,408.675,133.517,330.777
33492,0,-280.173,172.167,405.789,-250.836,140.532,361.193,-268.487,101.415,338.781,-321.018,64.5858,310.363,-372.093,86.1245,339.492,-449.242,95.2169,343.121,-509.09,56.4194,304.422,-558.318,54.5529,304.151,,,,,,,-260.121,109.394,324.655,235.711,128.87,320.56,-934.348,75.2373,339.515,408.674,133.517,330.776
33493,0,-280.221,173.038,406.401,-251.482,140.687,361.906,-268.385,101.239,338.754,-320.623,64.6277,310.35,-371.89,85.8532,339.343,-448.855,95.1379,343.198,-508.875,56.9796,304.883,-558.193,54.1531,303.793,,,,,,,-260.108,109.391,324.656,235.71,128.868,320.553,-934.367,75.2822,339.509,408.686,133.485,330.781
33494,0,-279.796,173.542,406.929,-251.957,141.096,362.362,-267.851,101.613,338.739,-320.471,64.3779,310.566,-371.117,85.2875,338.505,-448.338,95.0465,343.217,-508.586,56.7111,305.49,-557.981,53.8466,303.195,-580.182,105.985,340.795,,,,-260.098,109.407,324.658,235.71,128.868,320.553,-934.366,75.2991,339.507,408.686,133.484,330.781
33495,0,-279.646,174.152,407.486,-252.662,141.741,362.721,-267.839,101.746,338.822,-320.238,64.6109,310.799,-370.603,84.8488,338.359,-447.665,95.0693,343.38,-508.407,56.3079,305.785,,,,,,,,,,-260.097,109.408,324.658,235.711,128.87,320.56,-934.368,75.2803,339.512,408.674,133.515,330.776
