tn,gsr,gs_bin,ID,svl,beh_c,beh,ldl,ldh,ahh,ahl,maxC,rel_maxC,avg_ydev,avg_zdev,dist,over
38,30.90169301,30,94,85,0,0,NaN,NaN,NaN,NaN,0.162462955,19.11328878,54.0076632,19.79106929,NaN,NaN
40,36.10376148,35,94,85,0,0,NaN,NaN,NaN,NaN,0.11664631,13.72309529,41.80950228,16.17211303,NaN,NaN
41,38.61549678,40,94,85,0,0,NaN,NaN,NaN,NaN,0.171213871,20.14280831,49.16831025,20.00595941,NaN,NaN
42,40.72244671,40,94,85,0,0,NaN,NaN,NaN,NaN,0.124526743,14.65020505,55.43356974,21.44275292,NaN,NaN
43,40.83354166,40,94,85,0,0,NaN,NaN,NaN,NaN,0.156460998,18.40717629,50.19747819,22.3624427,NaN,NaN
44,45.53574082,45,94,85,1,1,1.599939861,0.963228685,3.234517194,4.362994124,0.117988038,13.8809457,48.13370203,18.65792567,14.24839298,0.002977516
45,45.53540153,45,94,85,0,0,NaN,NaN,NaN,NaN,0.315960323,37.17180272,69.8954122,84.90766852,NaN,NaN
46,45.57705086,45,94,85,0,0,NaN,NaN,NaN,NaN,0.14395111,16.93542465,58.07526961,20.00044079,NaN,NaN
47,51.50119404,50,94,85,1,1,17.48928196,8.982724881,18.5402067,20.38996791,0.350031854,41.18021811,97.44969484,106.5834736,28.2893504,0.038454838
48,52.46663909,50,94,85,1,1,19.78157607,12.26930828,22.84092475,22.70284682,0.405042687,47.65208084,90.88576812,121.9034456,38.50699119,0.133902545
49,52.19342029,50,94,85,1,1,5.520285021,4.409055981,7.183458612,8.004069497,0.142322319,16.74380227,55.8664364,37.7517457,21.38898486,-0.017824022
53,37.34464586,35,89,73.5,0,0,NaN,NaN,NaN,NaN,0.07395553,10.06197682,19.149017,11.67058704,NaN,NaN
54,37.31295544,35,89,73.5,0,0,NaN,NaN,NaN,NaN,0.086018446,11.70318991,26.80229537,7.300657956,NaN,NaN
55,37.44135928,35,89,73.5,0,0,NaN,NaN,NaN,NaN,0.074191025,10.09401697,21.32000148,11.72609271,NaN,NaN
56,42.19829887,40,89,73.5,0,0,NaN,NaN,NaN,NaN,0.073032783,9.936433109,16.60396644,11.63177136,NaN,NaN
