Trial,Date,ID,Mass,SVL,Spacings,LF,DP,Notes,Temp,Humidity,Behavior_guess,Attempted_gs_svl
38,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",7001,N/A,no branch markers,,,Cantilever,35
40,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",2737,N/A,,,,Cantilever,35
41,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",7818,N/A,,,,Cantilever,40
42,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",9666,N/A,,,,Cantilever,40
43,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",9816,N/A,,,,Cantilever,40
44,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",2715,2679,,,,Cantilever,45
45,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",5949,N/A,,,,Not cantilever,45
46,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",1195,N/A,,,,Borderline,45
47,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",28526,28289,,,,Not cantilever,50
48,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",22056,21768,,,,Not cantilever,50
49,25-Aug-16,94,108.5,85,"1, 10, 10, 10, 10, 10, 10, 8, 7, 9",2901,2847,,,,Not cantilever,50
53,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",1042,N/A,,,,Cantilever,35
54,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",1007,N/A,,,,Cantilever,35
55,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",675,N/A,,,,Cantilever,35
56,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",5773,N/A,,,,Cantilever,40
57,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",557,N/A,,,,Cantilever,40
58,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",2600,N/A,,,,Cantilever,40
59,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",834,N/A,,,,Cantilever,45
60,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",889,N/A,,,,Cantilever,45
61,26-Aug-16,89,65.1,73.5,"1.5, 7, 7, 7, 7, 8, 8, 8, 10,10",816,740,,,,Not cantilever,45
