Trial,ID,gsm,gsr,gs_bin,TNorm,x_torq,y_torq,res,hpt,svl,mass
274,85,0.622153717,85.81430582,85,0.025966057,-0.008356125,0.004712629,0.009593419,15.6738831,0.725,0.052
272,85,0.615736089,84.92911571,85,0.027637296,0.003974281,0.009277656,0.010093058,25.32346989,0.725,0.0514
271,85,0.615815785,84.9401083,85,0.026916967,-0.00252771,0.009499447,0.009829996,23.09602555,0.725,0.0514
270,85,0.570038099,78.6259447,80,0.011320635,0.00031655,0.004122126,0.004134262,21.33626563,0.725,0.0514
269,85,0.571563467,78.83634027,80,0.036896622,0.002947169,0.013148281,0.013474536,28.82473002,0.725,0.0514
268,85,0.572524502,78.96889681,80,0.029055912,0.008774404,0.005967073,0.010611132,20.0140851,0.725,0.0514
267,85,0.529513662,73.03636716,75,0.028671127,-0.005035143,0.009180468,0.010470609,29.97427304,0.725,0.0514
266,85,0.531001396,73.24157181,75,0.059056558,0.005807843,0.020770567,0.021567278,43.36519588,0.725,0.0514
265,85,0.53089232,73.22652686,75,0.028616631,0.008070387,0.00663974,0.010450708,20.82458125,0.725,0.0514
264,85,0.505074311,69.66542218,70,0.031412826,-0.000224813,0.011469667,0.01147187,33.16547645,0.725,0.0514
262,85,0.508950669,70.20009223,70,0.016134223,0.003409157,0.004889844,0.00596095,21.39768842,0.725,0.052
261,85,0.508767981,70.174894,70,0.015897183,0.002541083,0.005295225,0.005873373,20.56043861,0.725,0.052
259,85,0.463352508,63.91069075,65,0.026131225,0.001079353,0.009593917,0.009654442,33.30839096,0.725,0.052
258,85,0.463998465,63.99978828,65,0.038805774,0.004446336,0.013630292,0.014337181,38.83511455,0.725,0.052
257,85,0.464005872,64.00080988,65,0.099215022,0.002097725,0.036595909,0.036655982,65.74996782,0.725,0.052
256,85,0.431058378,59.45632803,60,0.087870691,0.001056328,0.032447516,0.032464705,69.58118187,0.725,0.052
255,85,0.43071228,59.40859038,60,0.046684355,0.002394117,0.017081035,0.017248002,46.41435929,0.725,0.052
254,85,0.432528112,59.65904994,60,0.118790408,-0.002253099,0.043830432,0.043888304,78.38261937,0.725,0.052
