,tn,gsr,gs_bin,ID,svl,beh,mhv,landv,axv,slv,smv,sav
0,38,30.90169301,30,94,0.85,0,0.138289958,0.137767985,0.080275527,0.162079983,0.162694068,0.094441797
1,40,36.10376148,35,94,0.85,0,0.495749101,0.475002649,0.275608352,0.558826646,0.583234237,0.32424512
2,41,38.61549678,40,94,0.85,0,0.416583164,0.369424426,0.201252312,0.434616972,0.49009784,0.236767426
3,42,40.72244671,40,94,0.85,0,0.145951289,0.080564576,0.100887203,0.094781854,0.171707399,0.118690827
4,43,40.83354166,40,94,0.85,0,0.233422017,0.195236714,0.102317563,0.229690251,0.274614137,0.120373603
5,44,45.53574082,45,94,0.85,1,0.284009062,0.261873747,0.23350861,0.308086762,0.334128308,0.274716012
6,45,45.53540153,45,94,0.85,0,0.413748078,0.379539324,0.18057509,0.446516851,0.486762445,0.212441282
7,46,45.57705086,45,94,0.85,0,0.424325099,0.423206239,0.254792469,0.497889693,0.499205999,0.299755845
8,47,51.50119404,50,94,0.85,1,1.152426171,1.143654304,0.194940647,1.345475651,1.355795496,0.229341937
9,48,52.46663909,50,94,0.85,1,1.631174833,1.62834156,0.262866992,1.915695953,1.919029215,0.309255285
10,49,52.19342029,50,94,0.85,1,0.315210467,0.314525182,0.16114506,0.370029626,0.370835843,0.189582423
11,53,37.34464586,35,89,0.735,0,0.250320736,0.208659178,0.17675049,0.283890039,0.34057243,0.240476857
12,54,37.31295544,35,89,0.735,0,0.252261214,0.125667309,0.194937567,0.170975931,0.343212536,0.26522118
13,55,37.44135928,35,89,0.735,0,0.251193545,0.216387733,0.232708733,0.294405079,0.341759925,0.316610521
14,56,42.19829887,40,89,0.735,0,0.098746192,0.032751382,0.057946918,0.044559703,0.134348561,0.078839344
15,57,42.17687075,40,89,0.735,0,0.244552352,0.179642297,0.210524511,0.244411289,0.332724289,0.286427906
16,58,42.39423701,40,89,0.735,0,0.11709264,0.117059641,0.090189305,0.159264818,0.159309715,0.122706537
17,59,46.07700579,45,89,0.735,0,0.241519456,0.17718566,0.194552138,0.241068926,0.328597899,0.264696786
18,60,46.15340755,45,89,0.735,0,0.230940367,0.173518747,0.188382734,0.236079927,0.314204581,0.256303039
19,61,46.1537557,45,89,0.735,1,0.518157224,0.451507246,0.463332491,0.614295573,0.704975816,0.630384342
20,62,50.65791213,50,89,0.735,0,0.492833785,0.354002437,0.338727964,0.481635969,0.670522156,0.460854373
21,63,50.62350239,50,89,0.735,0,0.129365353,0.08990849,0.055317532,0.122324477,0.176007283,0.075261948
22,64,50.55664155,50,89,0.735,0,0.160177286,0.105700315,0.096184553,0.143809953,0.21792828,0.130863337
23,66,55.13737983,55,89,0.715,0,0.366949962,0.358488548,0.22497615,0.501382585,0.513216731,0.314651957
24,67,55.14715485,55,89,0.715,1,1.963754439,0.991010967,0.495661836,1.386029325,2.746509705,0.693233337
25,68,55.19928786,55,89,0.715,1,1.307527209,1.182933536,0.204051059,1.654452498,1.828709384,0.285386096
26,69,59.67495474,60,89,0.715,1,0.8689286,0.685886647,0.206325249,0.959282024,1.215284756,0.288566782
27,70,59.21843307,60,89,0.715,1,1.342092482,1.123840639,0.254212621,1.57180509,1.877052423,0.355542127
28,71,59.25040035,60,89,0.715,1,1.456568044,1.090513441,0.301813843,1.525193624,2.037158104,0.422117263
29,72,65.18766677,65,89,0.715,1,2.148839873,1.667182902,0.33741781,2.331724339,3.005370451,0.471913022
30,73,65.1511164,65,89,0.715,1,2.677992628,1.450400589,0.349750584,2.028532292,3.745444235,0.489161657
31,74,65.13190383,65,89,0.715,1,1.841461686,1.688306976,0.362799382,2.361268498,2.57547089,0.507411723
32,75,69.92876144,70,89,0.715,1,1.358586714,1.10004414,0.208703824,1.538523273,1.900121279,0.291893459
33,76,69.83966134,70,89,0.715,1,1.662365086,1.641732174,0.223457576,2.296128915,2.324986134,0.312528078
34,77,69.89764391,70,89,0.715,1,2.020864875,2.009184544,0.757017483,2.810048313,2.82638444,1.05876571
35,78,74.79519621,75,89,0.715,1,1.914260478,1.903392099,0.216140283,2.662086852,2.677287382,0.302294102
36,79,74.64997735,75,89,0.715,1,1.954053794,1.875355274,0.228431469,2.62287451,2.732942369,0.319484572
37,80,74.70922419,75,89,0.715,1,1.696295596,1.674874283,0.218367137,2.342481515,2.372441392,0.305408583
38,81,80.09363588,80,89,0.715,1,1.917532067,1.909486228,0.201859906,2.67061011,2.68186303,0.282321547
39,82,80.13102145,80,89,0.715,1,1.936083673,1.921959097,0.312249633,2.688054681,2.707809333,0.436712774
40,83,79.96122722,80,89,0.715,1,1.792271213,1.78112527,0.176593147,2.491084294,2.506673026,0.246983422
41,85,85.03496503,85,89,0.715,1,2.043861415,2.015820271,0.368340062,2.81932905,2.858547434,0.515160926
42,87,85.07654205,85,89,0.715,1,1.832546784,1.830228922,0.338348514,2.559760731,2.563002495,0.473214705
43,88,90.52205057,90,89,0.715,1,2.27566326,2.205229652,0.269703655,3.084237276,3.182745818,0.37720791
44,89,90.46862729,90,89,0.715,1,1.977323928,1.533230596,0.220890541,2.144378456,2.765488012,0.30893782
45,90,90.48197857,90,89,0.715,1,2.099969087,2.088704249,0.357684112,2.921264684,2.937019702,0.5002575
46,91,93.36902563,95,89,0.715,1,2.119067877,2.10881828,0.482334377,2.949396196,2.963731297,0.674593535
47,92,93.30547331,95,89,0.715,1,2.176812633,2.16053146,0.580553995,3.021722322,3.044493193,0.811963629
48,93,93.28671329,95,89,0.715,1,2.320414458,2.29173264,0.675658755,3.205220475,3.245334906,0.944977279
